Replicon	models
ACBA002.0321.00093.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00093.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00093.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00094.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00094.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00095.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00095.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00095.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00095.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00096.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00096.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00096.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00097.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00097.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00098.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00098.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00099.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00099.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00099.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00099.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00099.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00100.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00101.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00101.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00101.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
